a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:1.0.0-2
alsa-firmware 1.2.4-3
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
aom 3.7.1-1
appstream 1.0.0-5
arc-gtk-theme-eos 20221218-1
archlinux-keyring 20231130-1
argon2 20190702-5
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
b43-fwcutter 019-4
base 3-2
base-devel 1-1
bash 5.2.021-1
bash-completion 2.11-3
bind 9.18.20-1
binutils 2.41-3
bison 3.8.2-6
bluez 5.70-1
bluez-libs 5.70-1
bluez-utils 5.70-1
bolt 0.9.6-1
boost-libs 1.83.0-2
bottom 0.9.6-1
box2d 2.4.1-2
brotli 1.1.0-1
btrfs-progs 6.6.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.95-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
chromaprint 1.5.1-7
cifs-utils 7.0-3
clucene 2.3.3.4-14
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
coreutils 9.4-2
cpio 2.14-1
cracklib 2.9.11-1
cronie 1.7.0-4
cryptsetup 2.6.1-3
cups-pk-helper 0.2.7-1
curl 8.4.0-2
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
dhclient 4.4.3.P1-2
diffutils 3.10-1
ding-libs 0.6.2-1
djvulibre 3.5.28-5
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
dracut 059-4
duf 0.8.1-2
duktape 2.7.0-6
e2fsprogs 1.47.0-1
editorconfig-core-c 0.12.6-1
efibootmgr 18-2
efitools 1.9.2-5
efivar 38-3
ell 0.61-1
enchant 2.6.3-1
endeavouros-keyring 20230523-1
endeavouros-mirrorlist 23.16-1
endeavouros-theming 23.11.1.1-1
eos-apps-info 23-5
eos-bash-shared 23.25-1
eos-dracut 1.2-1
eos-hooks 1.15-1
eos-log-tool 23-3
eos-packagelist 2.2-1
eos-qogir-icons 5-1
eos-quickstart 1.3.1-2
eos-rankmirrors 2.24-1
eos-settings-gnome 2.1-1
eos-translations 23.13-1
eos-update-notifier 23-17
ethtool 1:6.5-1
evince 45.0-1
exfatprogs 1.2.2-1
exiv2 0.28.1-1
expac 10-5
expat 2.5.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.32.2-1
fcft 3.1.6-2
ffmpeg 2:6.1-1
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.45-1
file-roller 43.1-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 120.0.1-1
firefox-developer-edition 121.0b7-1
firewalld 2.0.2-1
fish 3.6.1-1
flac 1.4.3-1
flex 2.6.4-5
fluidsynth 2.3.4-1
fontconfig 2:2.14.2-1
foot 1.16.2-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.44.1-1
gawk 5.3.0-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gdm 45.0.1-1
geoclue 2.7.1-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.4-1
ghostscript 10.02.1-1
giflib 5.2.1-2
git 2.43.0-1
gjs 2:1.78.1-1
glances 3.4.0.3-1
glib-networking 1:2.78.0-1
glib2 2.78.1-1
glibc 2.38-7
glibmm 2.66.6-1
glu 9.0.3-1
glycin 0.1.2-1
gmp 6.3.0-1
gnome-autoar 0.4.4-1
gnome-bluetooth-3.0 42.7-2
gnome-calculator 45.0.2-1
gnome-color-manager 3.36.0+r51+gcf7ee2b5-1
gnome-console 45.0-1
gnome-control-center 45.1-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 45.1-1
gnome-keyring 1:42.1-3
gnome-nettool 42.0-2
gnome-online-accounts 3.48.0-2
gnome-power-manager 43.0-1
gnome-screenshot 41.0+r25+g45f08f0-1
gnome-session 45.0-1
gnome-settings-daemon 45.0-2
gnome-shell 1:45.2-1
gnome-system-monitor 45.0.2-1
gnome-text-editor 45.1-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-tweaks 45.0-1
gnome-usage 45.0-1
gnome-weather 45.0-1
gnupg 2.4.3-2
gnutls 3.8.2-1
gobject-introspection-runtime 1.78.1-1
gperftools 2.13-2
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
grilo 0.3.16-1
groff 1.23.0-5
grub 2:2.12rc1-5
gsettings-desktop-schemas 45.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.2-1
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-libav 1.22.7-1
gst-plugin-gtk 1.22.7-1
gst-plugin-pipewire 1:1.0.0-2
gst-plugins-bad 1.22.7-1
gst-plugins-bad-libs 1.22.7-1
gst-plugins-base 1.22.7-1
gst-plugins-base-libs 1.22.7-1
gst-plugins-good 1.22.7-1
gst-plugins-ugly 1.22.7-1
gstreamer 1.22.7-1
gtk-update-icon-cache 1:4.12.4-1
gtk3 1:3.24.38-1
gtk4 1:4.12.4-1
gtkmm3 3.24.8-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtksourceview5 5.10.0-1
